,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,Classification
0,0.0,549.0,1299.0,1551.0,697.0,0.0,0.0,0.0,0.0,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,2114.0,1811.0,171.0,0.0,0.0,32.0,4061.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,Highway
1,0.0,20.0,458.0,1529.0,2089.0,0.0,0.0,0.0,0.0,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,478.0,2399.0,1219.0,0.0,0.0,2.0,4094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,Highway
2,0.0,480.0,547.0,1973.0,1068.0,0.0,0.0,0.0,0.0,2170.0,0.0,0.0,9.0,0.0,0.0,0.0,384.0,0.0,1321.0,2500.0,275.0,0.0,0.0,18.0,4077.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,Highway
3,0.0,73.0,573.0,2221.0,1229.0,0.0,0.0,0.0,0.0,2804.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,500.0,2469.0,1127.0,0.0,0.0,129.0,3932.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,Highway
4,0.0,263.0,1524.0,747.0,1562.0,0.0,0.0,0.0,0.0,2199.0,0.0,0.0,1.0,0.0,0.0,0.0,1377.0,0.0,569.0,2022.0,1505.0,0.0,0.0,2.0,4092.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Highway
5,0.0,1055.0,1592.0,944.0,504.0,0.0,0.0,0.0,0.0,1958.0,0.0,0.0,15.0,0.0,0.0,0.0,1125.0,0.0,1270.0,2131.0,695.0,0.0,0.0,0.0,4090.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Highway
6,0.0,1048.0,1241.0,1651.0,96.0,0.0,0.0,0.0,0.0,1925.0,0.0,0.0,39.0,0.0,0.0,0.0,975.0,0.0,1757.0,1831.0,508.0,0.0,0.0,17.0,4058.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,Highway
7,0.0,1125.0,2269.0,536.0,166.0,0.0,0.0,0.0,0.0,2232.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,0.0,1359.0,1809.0,928.0,0.0,0.0,0.0,4025.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,Highway
8,0.0,501.0,791.0,1964.0,840.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,53.0,0.0,0.0,0.0,810.0,0.0,663.0,2635.0,798.0,0.0,0.0,121.0,3930.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,Highway
9,0.0,2232.0,1779.0,84.0,0.0,0.0,0.0,0.0,0.0,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.0,0.0,1707.0,2033.0,356.0,0.0,0.0,0.0,4039.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,Highway
10,0.0,264.0,911.0,1287.0,1546.0,0.0,0.0,0.0,0.0,2498.0,0.0,0.0,23.0,118.0,0.0,0.0,249.0,0.0,973.0,2185.0,938.0,0.0,0.0,7.0,4088.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,Highway
11,0.0,119.0,428.0,3273.0,276.0,0.0,0.0,0.0,0.0,2728.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,1057.0,2215.0,824.0,0.0,0.0,972.0,3124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,Highway
12,0.0,1316.0,1648.0,1047.0,77.0,0.0,0.0,0.0,0.0,2449.0,0.0,0.0,177.0,0.0,0.0,0.0,281.0,0.0,1722.0,1762.0,612.0,0.0,0.0,4.0,4083.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Highway
13,0.0,154.0,1937.0,1092.0,913.0,0.0,0.0,0.0,0.0,2168.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.0,0.0,814.0,2066.0,1216.0,0.0,0.0,1.0,4095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,Highway
14,0.0,761.0,1211.0,1672.0,440.0,0.0,0.0,0.0,0.0,2304.0,0.0,0.0,89.0,0.0,0.0,0.0,301.0,0.0,1646.0,1901.0,549.0,0.0,0.0,0.0,4076.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,Highway
15,0.0,821.0,986.0,1744.0,541.0,0.0,0.0,0.0,0.0,2361.0,0.0,0.0,8.0,0.0,0.0,0.0,895.0,0.0,494.0,1827.0,1775.0,0.0,0.0,0.0,4094.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Highway
16,0.0,534.0,645.0,1854.0,1046.0,0.0,0.0,0.0,0.0,2522.0,0.0,0.0,115.0,0.0,0.0,0.0,413.0,0.0,1820.0,2057.0,219.0,0.0,0.0,0.0,4093.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,Highway
17,0.0,462.0,1440.0,1046.0,1148.0,0.0,0.0,0.0,0.0,1629.0,0.0,0.0,25.0,0.0,0.0,0.0,1434.0,0.0,1701.0,1980.0,415.0,0.0,0.0,178.0,3879.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,Highway
18,0.0,2364.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,3062.0,0.0,0.0,2.0,0.0,0.0,0.0,4053.0,0.0,1398.0,2111.0,587.0,0.0,0.0,0.0,4076.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,Highway
19,0.0,355.0,1043.0,1778.0,892.0,0.0,0.0,0.0,0.0,2055.0,0.0,0.0,11.0,0.0,0.0,0.0,329.0,0.0,2399.0,1696.0,1.0,0.0,0.0,21.0,4074.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Highway
20,0.0,575.0,774.0,1959.0,787.0,0.0,0.0,0.0,0.0,2601.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,1340.0,1935.0,821.0,0.0,0.0,1.0,4087.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,Highway
